Mach_Number/ AoA (rad),0.0000,0.2618, 0.5236, 0.7854, 1.0472, 1.5708
0.00, 65.5, 62.0, 60.5, 59.5, 58.8, 58.0
0.20, 65.5, 62.0, 60.5, 59.5, 58.8, 58.0
0.40, 65.6, 62.1, 60.6, 59.6, 58.8, 58.0
0.60, 66.0, 62.3, 60.8, 59.7, 58.9, 58.0
0.80, 67.5, 63.5, 61.5, 60.2, 59.0, 58.0
0.90, 71.0, 66.5, 63.5, 61.5, 59.5, 58.0
1.00, 76.5, 71.5, 66.8, 63.0, 60.2, 58.0
1.10, 78.2, 73.2, 68.0, 63.8, 60.5, 58.0
1.20, 77.8, 72.8, 67.5, 63.5, 60.4, 58.0
1.40, 76.5, 71.8, 66.8, 63.0, 60.2, 58.0
1.60, 75.2, 71.0, 66.2, 62.6, 60.0, 58.0
1.80, 74.5, 70.6, 65.8, 62.4, 59.9, 58.0
2.00, 74.0, 70.2, 65.5, 62.2, 59.8, 58.0
2.50, 73.5, 70.0, 65.4, 62.1, 59.7, 58.0
3.00, 73.2, 69.8, 65.3, 62.0, 59.7, 58.0
4.00, 73.0, 69.5, 65.1, 61.9, 59.6, 58.0
